,id,year,title,w,h,complexity,title_len,area
0,b104,1920,No. VI,1010,1007,41,6,1017070
1,b105,1920,Composition A,918,900,42,13,826200
2,b106,1920,Composition B,575,677,41,13,389275
3,b107,1920,Composition C,610,603,44,13,367830
4,b108,1920,Composition I,646,750,44,13,484500
5,b109,1920,Composition II,564,630,38,14,355320
6,b113,1920,Tableau no. I,651,753,43,13,490203
7,b114,1920,"Composition with yellow, red, black, blue and gray",610,525,42,50,320250
8,b115,1921,"Composition with red, black, yellow, blue and grey",500,800,34,50,400000
9,b116,1921,"Composition with yellow, blue, black, red, and gray",727,885,42,51,643395
10,b117,1921,"Composition with large blue plane, red, black, yellow and gray",500,605,28,62,302500
11,b120,1921,"Composition with large red plane, black, blue, yellow and gray",480,480,24,62,230400
12,b121,1921,Tableau no. II,650,750,45,14,487500
13,b122,1921,Tableau,495,495,28,7,245025
14,b123,1921,Tableau 3,415,495,21,9,205425
15,b125,1921,"Compositie met rood, blauw, zwart, geel en grijs",350,395,18,48,138250
16,b126,1921,Tableau I,605,965,23,9,583825
17,b128,1921,Tableau I,1000,1030,25,9,1030000
18,b129,1921,Tableau II,990,1010,25,10,999900
19,b130,1921,"Composition with large red plane, yellow, black, gray and blue",595,595,46,62,354025
20,b131,1921,"Composition with red, yellow, black, blue, and gray",380,480,23,51,182400
21,b132,1921,"Composition with red, blue, black, yellow and gray",524,760,26,50,398240
22,b133,1922,Tableau no. III,492,492,19,15,242064
23,b134,1922,"Composition with blue, yellow, red and gray",348,380,21,43,132240
24,b135,1922,"Composition with blue, black, yellow and red",347,390,19,44,135330
25,b136,1922,"Composition with blue, black, yellow and red",490,410,20,44,200900
26,b137,1922,"Composition with red, blue, yellow, black and gray",486,419,22,50,203634
27,b138,1922,"Composition with blue, yellow, red, black, and gray",500,420,20,51,210000
28,b139,1922,"Composition with yellow, black, blue, red, and gray",500,400,19,51,200000
29,b141,1922,"Composition with blue, yellow, red, and black",485,420,24,45,203700
30,b142,1922,"Composition with blue, red, yellow, and black",495,790,20,45,391050
31,b143,1922,"Composition with yellow, blue, and blue-white",533,553,23,45,294749
32,b144,1922,"Composition with large red plane, bluish gray, yellow, black, and blue",534,540,27,70,288360
33,b145,1922,"Composition with blue, yellow, black, and red",540,530,22,45,286200
34,b146,1922,Tableau 2,534,556,24,9,296904
35,b147,1922,"Compostion with red, black, yellow, blue, and gray",390,501,16,50,195390
36,b150,1923,Tableau,535,540,18,7,288900
37,b159,1925,Tableau no. VII,435,485,13,15,210975
38,b160,1925,Tableau no. VIII,415,490,17,16,203350
39,b162,1925,Tableau no. X,425,490,13,13,208250
40,b163,1922,Tableau no. XI,345,385,13,14,132825
41,b170,1926,Komposition II,508,508,12,14,258064
42,b172,1926,Komposition IV,300,400,11,14,120000
43,b182,1927,"Composition with yellow, red, and blue",345,380,13,38,131100
44,b183,1927,"Composition with blue, black, and gray",350,382,10,38,133700
45,b185,1927,"Composition with blue, yellow, and red",503,398,17,38,200194
46,b187,1927,"Composition with red, yellow, and blue",350,380,13,38,133000
47,b188,1927,"Composition with red, yellow, and blue",511,511,16,38,261121
48,b189,1927,"Composition with black, red, and gray",560,560,11,37,313600
49,b190,1927,No. III,400,610,13,7,244000
50,b191,1927,"Composition with red, yellow, and blue",520,400,17,38,208000
51,b192,1927,Compositie no. I,350,380,15,16,133000
52,b193,1927,No. I,540,735,10,5,396900
53,b194,1927,No. III,355,380,11,7,134900
54,b195,1927,"Composition with red, blue, and gray",500,660,12,36,330000
55,b196,1927,No. II,352,502,10,6,176704
56,b197,1927,Composition with yellow and blue,395,500,10,32,197500
57,b198,1927,Compositie with yellow and red,350,520,9,30,182000
