id,title
b104,No. VI
b105,Composition A
b106,Composition B
b107,Composition C
b108,Composition I
b109,Composition II
b113,Tableau no. I
b114,"Composition with yellow, red, black, blue and gray"
b115,"Composition with red, black, yellow, blue and grey"
b116,"Composition with yellow, blue, black, red, and gray"
b117,"Composition with large blue plane, red, black, yellow and gray"
b120,"Composition with large red plane, black, blue, yellow and gray"
b121,Tableau no. II
b122,Tableau
b123,Tableau 3
b125,"Compositie met rood, blauw, zwart, geel en grijs"
b126,Tableau I
b128,Tableau I
b129,Tableau II
b130,"Composition with large red plane, yellow, black, gray and blue"
b131,"Composition with red, yellow, black, blue, and gray"
b132,"Composition with red, blue, black, yellow and gray"
b133,Tableau no. III
b134,"Composition with blue, yellow, red and gray"
b135,"Composition with blue, black, yellow and red"
b136,"Composition with blue, black, yellow and red"
b137,"Composition with red, blue, yellow, black and gray"
b138,"Composition with blue, yellow, red, black, and gray"
b139,"Composition with yellow, black, blue, red, and gray"
b141,"Composition with blue, yellow, red, and black"
b142,"Composition with blue, red, yellow, and black"
b143,"Composition with yellow, blue, and blue-white"
b144,"Composition with large red plane, bluish gray, yellow, black, and blue"
b145,"Composition with blue, yellow, black, and red"
b146,Tableau 2
b147,"Compostion with red, black, yellow, blue, and gray"
b150,Tableau
b159,Tableau no. VII
b160,Tableau no. VIII
b162,Tableau no. X
b163,Tableau no. XI
b170,Komposition II
b172,Komposition IV
b182,"Composition with yellow, red, and blue"
b183,"Composition with blue, black, and gray"
b185,"Composition with blue, yellow, and red"
b187,"Composition with red, yellow, and blue"
b188,"Composition with red, yellow, and blue"
b189,"Composition with black, red, and gray"
b190,No. III
b191,"Composition with red, yellow, and blue"
b192,Compositie no. I
b193,No. I
b194,No. III
b195,"Composition with red, blue, and gray"
b196,No. II
b197,Composition with yellow and blue
b198,Compositie with yellow and red
b199,"Composition with yellow, red, and blue"
b200,"Composition with red, yellow, and blue"
b201,"Large composition with red, blue, and yellow"
b203,"Composition with red, black, blue, yellow, and gray"
b204,"Composition with red, black, blue, and yellow"
b206,Composition
b207,Composition
b208,Composition no. I
b209,Composition no. II
b210,Composition no. III
b212,Composition II
b213,Composition no. III
b214,Composition no. I
b215,Composition no. II
b216,Composition no. IV
b217,"Composition with red, blue and yellow"
b219,Composition no. II
b220,Composition no. I
b221,Composition with yellow
b222,Composition II
b223,Composition en blanc et noir I
b224,Composition en blanc et noir II
b225,Composition no. II
b226,Composition no. I
b227,Composition en couleurs
b228,Composition no. II
b230,Composition A
b231,Composition B
b232,Composition C
b233,Composition D
b234,Composition with yellow and blue
b235,Composition with blue and yellow
b236,Composition with yellow and blue
b237,Composition with double line and yellow
b238,Composition with double line and yellow and blue
b239,Composition with red and blue
b240,Composition with blue and yellow
b243,"Composition in black and white, with double lines"
b244,Composition no. I
b245,Composition no. II
b252,Composition no. IV blanc-bleu
b253,Composition A
b254,Composition B
b255,Composition (no. I) gris-rouge
b256,Composition (no. II) bleu-jaune
b257,Composition (no. III) blanc-jaune
b259,Composition with double line and blue
b260,Composition A (no. I)
b261,Composition C (no. III)
b262,Composition (A) en rouge et blanc
b263,"Composition (B), en bleu, jaune et blanc"
b264,Composition with yellow
b265,"Composition - blanc, rouge et jaune: A"
b266,Composition - blanc et rouge: B
b267,"Composition in White, Blue and Yellow"
b268,"Composition en blanc, rouge et bleu"
b269,"Composition en blanc, noir et rouge"
b271,"Composition en jaune, bleu et blanc: I"
b272,"Composition en rouge, bleu et blanc: II"
b273,"No. I: Opposition de lignes, de rouge et jaune"
b274,No. II: Blanc et rouge
b275,No. III: Opposition de lignes de blanc et jaune
b276,Rythme de lignes droites
b277,Composition de lignes et couleur: III
b279,"Composition with Yellow, Blue and Red"
b280,Composition no. 12
b281,Composition no. 7
b283,Place de la Concorde
b284,Composition no. 2
b285,Composition of red and white: I
b286,Composition no. 5
b287,Composition no. 9
b288,Composition no. 10
b292,Composition no. 1
b293,"Composition of red, blue and white: II"
b294,Trafalgar Square
b295,Composition no. 8
b296,Composition no. 11
